	Population Size	Elite Size	Mutation %	Fmed
0	100.0	0.0	0.01	3373.205333333333
1	100.0	0.0	0.05	3365.728
2	100.0	0.0	0.1	3361.9973333333337
3	100.0	0.0	1.0	3363.1653333333334
4	100.0	0.0	3.0	3360.8480000000004
5	100.0	1.0	0.01	3344.7386666666666
6	100.0	1.0	0.05	3349.1520000000005
7	100.0	1.0	0.1	3354.909333333334
8	100.0	1.0	1.0	3356.512
9	100.0	1.0	3.0	3343.605333333333
10	100.0	3.0	0.01	3390.1013333333335
11	100.0	3.0	0.05	3387.8293333333336
12	100.0	3.0	0.1	3418.818666666667
13	100.0	3.0	1.0	3399.2666666666664
14	100.0	3.0	3.0	3393.789333333333
15	100.0	5.0	0.01	3399.376
16	100.0	5.0	0.05	3379.786666666667
17	100.0	5.0	0.1	3398.976
18	100.0	5.0	1.0	3389.650666666667
19	100.0	5.0	3.0	3438.9866666666667
20	100.0	10.0	0.01	3425.786666666667
21	100.0	10.0	0.05	3402.1440000000002
22	100.0	10.0	0.1	3420.1386666666667
23	100.0	10.0	1.0	3412.232
24	100.0	10.0	3.0	3413.392
25	150.0	0.0	0.01	3412.541333333333
26	150.0	0.0	0.05	3413.354666666667
27	150.0	0.0	0.1	3415.0799999999995
28	150.0	0.0	1.0	3417.1333333333337
29	150.0	0.0	3.0	3386.557333333333
30	150.0	1.0	0.01	3382.2693333333327
31	150.0	1.0	0.05	3359.6159999999995
32	150.0	1.0	0.1	3388.9333333333334
33	150.0	1.0	1.0	3369.7839999999997
34	150.0	1.0	3.0	3399.330666666667
35	150.0	3.0	0.01	3363.4
36	150.0	3.0	0.05	3372.7653333333337
37	150.0	3.0	0.1	3367.5439999999994
38	150.0	3.0	1.0	3362.264
39	150.0	3.0	3.0	3363.813333333333
40	150.0	5.0	0.01	3366.6613333333335
41	150.0	5.0	0.05	3383.3386666666665
42	150.0	5.0	0.1	3424.722666666666
43	150.0	5.0	1.0	3368.6800000000003
44	150.0	5.0	3.0	3381.666666666667
45	150.0	10.0	0.01	3380.6826666666666
46	150.0	10.0	0.05	3342.4560000000006
47	150.0	10.0	0.1	3391.6346666666664
48	150.0	10.0	1.0	3368.901333333333
49	150.0	10.0	3.0	3401.256
50	200.0	0.0	0.01	3424.1253333333334
51	200.0	0.0	0.05	3438.114666666667
52	200.0	0.0	0.1	3466.376
53	200.0	0.0	1.0	3475.922666666667
54	200.0	0.0	3.0	3474.8666666666672
55	200.0	1.0	0.01	3459.8933333333334
56	200.0	1.0	0.05	3467.032
57	200.0	1.0	0.1	3452.72
58	200.0	1.0	1.0	3468.5119999999997
59	200.0	1.0	3.0	3468.1040000000003
60	200.0	3.0	0.01	3432.1573333333336
61	200.0	3.0	0.05	3426.869333333333
62	200.0	3.0	0.1	3433.277333333333
63	200.0	3.0	1.0	3423.1466666666665
64	200.0	3.0	3.0	3434.6
65	200.0	5.0	0.01	3415.976
66	200.0	5.0	0.05	3439.605333333334
67	200.0	5.0	0.1	3430.309333333333
68	200.0	5.0	1.0	3405.96
69	200.0	5.0	3.0	3386.882666666667
70	200.0	10.0	0.01	3366.8239999999996
71	200.0	10.0	0.05	3377.7066666666665
72	200.0	10.0	0.1	3357.704
73	200.0	10.0	1.0	3368.5973333333336
74	200.0	10.0	3.0	3365.1040000000003
75	250.0	0.0	0.01	3471.3573333333334
76	250.0	0.0	0.05	3468.496
77	250.0	0.0	0.1	3471.5919999999996
78	250.0	0.0	1.0	3461.405333333333
79	250.0	0.0	3.0	3458.6666666666665
80	250.0	1.0	0.01	3453.96
81	250.0	1.0	0.05	3438.624
82	250.0	1.0	0.1	3449.9919999999997
83	250.0	1.0	1.0	3447.1306666666665
84	250.0	1.0	3.0	3447.0826666666667
85	250.0	3.0	0.01	3410.6186666666667
86	250.0	3.0	0.05	3444.264
87	250.0	3.0	0.1	3455.768
88	250.0	3.0	1.0	3417.968
89	250.0	3.0	3.0	3425.9626666666672
90	250.0	5.0	0.01	3411.2853333333333
91	250.0	5.0	0.05	3401.4080000000004
92	250.0	5.0	0.1	3410.2479999999996
93	250.0	5.0	1.0	3408.2266666666665
94	250.0	5.0	3.0	3408.3893333333335
95	250.0	10.0	0.01	3387.0879999999997
96	250.0	10.0	0.05	3406.832
97	250.0	10.0	0.1	3415.645333333333
98	250.0	10.0	1.0	3402.749333333333
99	250.0	10.0	3.0	3398.882666666667
100	300.0	0.0	0.01	3479.637333333333
101	300.0	0.0	0.05	3515.9519999999998
102	300.0	0.0	0.1	3486.296
103	300.0	0.0	1.0	3492.482666666666
104	300.0	0.0	3.0	3486.9919999999997
105	300.0	1.0	0.01	3470.272
106	300.0	1.0	0.05	3490.690666666667
107	300.0	1.0	0.1	3469.117333333334
108	300.0	1.0	1.0	3453.6560000000004
109	300.0	1.0	3.0	3475.9973333333337
110	300.0	3.0	0.01	3472.7333333333336
111	300.0	3.0	0.05	3450.6106666666665
112	300.0	3.0	0.1	3454.2853333333333
113	300.0	3.0	1.0	3455.328
114	300.0	3.0	3.0	3462.7839999999997
115	300.0	5.0	0.01	3449.813333333333
116	300.0	5.0	0.05	3455.2213333333334
117	300.0	5.0	0.1	3446.9839999999995
118	300.0	5.0	1.0	3449.114666666667
119	300.0	5.0	3.0	3428.3413333333338
120	300.0	10.0	0.01	3439.026666666666
121	300.0	10.0	0.05	3436.2160000000003
122	300.0	10.0	0.1	3433.1946666666663
123	300.0	10.0	1.0	3428.344
124	300.0	10.0	3.0	3431.154666666667
